Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
[22]     0.0    0.00    0.00      20         std::__allocated_ptr<std::allocator<std::_List_node<int> > >::~__allocated_ptr() [22]
-----------------------------------------------
                0.00    0.00      20/20          std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&) [32]
[23]     0.0    0.00    0.00      20         std::__allocated_ptr<std::allocator<std::_List_node<int> > >::operator=(decltype(nullptr)) [23]
-----------------------------------------------
                0.00    0.00      20/20          std::__cxx11::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*) [30]
[24]     0.0    0.00    0.00      20         std::allocator_traits<std::allocator<std::_List_node<int> > >::deallocate(std::allocator<std::_List_node<int> >&, std::_List_node<int>*, unsigned long) [24]
                0.00    0.00      20/20          __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long) [15]
-----------------------------------------------
                0.00    0.00      20/20          std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear() [77]
[25]     0.0    0.00    0.00      20         void std::allocator_traits<std::allocator<std::_List_node<int> > >::destroy<int>(std::allocator<std::_List_node<int> >&, int*) [25]
                0.00    0.00      20/20          void __gnu_cxx::new_allocator<std::_List_node<int> >::destroy<int>(int*) [16]
-----------------------------------------------
                0.00    0.00      20/20          std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_node() [28]
[26]     0.0    0.00    0.00      20         std::allocator_traits<std::allocator<std::_List_node<int> > >::allocate(std::allocator<std::_List_node<int> >&, unsigned long) [26]
                0.00    0.00      20/20          __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned long, void const*) [17]
-----------------------------------------------
                0.00    0.00      20/20          std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&) [32]
[27]     0.0    0.00    0.00      20         void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int const&>(std::allocator<std::_List_node<int> >&, int*, int const&) [27]
                0.00    0.00      20/100         int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [10]
                0.00    0.00      20/20          void __gnu_cxx::new_allocator<std::_List_node<int> >::construct<int, int const&>(int*, int const&) [18]
-----------------------------------------------
                0.00    0.00      20/20          std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&) [32]
[28]     0.0    0.00    0.00      20         std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_node() [28]
                0.00    0.00      20/20          std::allocator_traits<std::allocator<std::_List_node<int> > >::allocate(std::allocator<std::_List_node<int> >&, unsigned long) [26]
-----------------------------------------------
                0.00    0.00      20/20          void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&) [34]
[29]     0.0    0.00    0.00      20         std::__cxx11::_List_base<int, std::allocator<int> >::_M_inc_size(unsigned long) [29]
-----------------------------------------------
                0.00    0.00      20/20          std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear() [77]
[30]     0.0    0.00    0.00      20         std::__cxx11::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*) [30]
                0.00    0.00      20/20          std::allocator_traits<std::allocator<std::_List_node<int> > >::deallocate(std::allocator<std::_List_node<int> >&, std::_List_node<int>*, unsigned long) [24]
-----------------------------------------------
                0.00    0.00      10/20          void std::__cxx11::list<int, std::allocator<int> >::_M_initialize_dispatch<int const*>(int const*, int const*, std::__false_type) [118]
                0.00    0.00      10/20          void std::__cxx11::list<int, std::allocator<int> >::_M_initialize_dispatch<std::_List_const_iterator<int> >(std::_List_const_iterator<int>, std::_List_const_iterator<int>, std::__false_type) [119]
[31]     0.0    0.00    0.00      20         void std::__cxx11::list<int, std::allocator<int> >::emplace_back<int const&>(int const&) [31]
                0.00    0.00      20/100         int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [10]
                0.00    0.00      20/20          std::__cxx11::list<int, std::allocator<int> >::end() [33]
                0.00    0.00      20/20          void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&) [34]
-----------------------------------------------
                0.00    0.00      20/20          void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&) [34]
[32]     0.0    0.00    0.00      20         std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&) [32]
